time	predators	prey
1900	0	1
1910	0	1
1920	0	1
1930	0	1
1940	0	1
1950	0	1
1960	0	1
1970	0	1
1980	0	1
1990	0	1
2000	0	1
2010	0	1
2020	0	1
2030	0	1
2040	0	1
2050	0	1
2060	0	1
2070	0	1
2080	0	1
2090	0	1
2100	0	1
2110	0	1
2120	0	1
2130	0	1
2140	0	1
2150	0	1
2160	0	1
2170	0	1
2180	0	1
2190	0	1
2200	0	1
2210	0	1
2220	0	1
2230	0	1
2240	0	1
2250	0	1
2260	0	1
2270	0	1
2280	0	1
2290	0	1
2300	0	1
2310	0	1
2320	0	1
2330	0	1
2340	0	1
2350	0	1
2360	0	1
2370	0	1
2380	0	1
2390	0	1
2400	0	1
2410	0	1
2420	0	1
2430	0	1
2440	0	1
2450	0	1
2460	0	1
2470	0	1
2480	0	1
2490	0	1
2500	0	1
2510	0	1
2520	0	1
2530	0	1
2540	0	1
2550	0	1
2560	0	1
2570	0	1
2580	0	1
2590	0	1
2600	0	1
2610	0	1
2620	0	1
2630	0	1
2640	0	1
2650	0	1
2660	0	1
2670	0	1
2680	0	1
2690	0	1
2700	0	1
2710	0	1
2720	0	1
2730	0	1
2740	0	1
2750	0	1
2760	0	1
2770	0	1
2780	0	1
2790	0	1
2800	0	1
2810	0	1
2820	0	1
2830	0	1
2840	0	1
2850	0	1
2860	0	1
2870	0	1
2880	0	1
2890	0	1
2900	0	1
2910	0	1
2920	0	1
2930	0	1
2940	0	1
2950	0	1
2960	0	1
2970	0	1
2980	0	1
2990	0	1
3000	0	1
3010	0	1
3020	0	1
3030	0	1
3040	0	1
3050	0	1
3060	0	1
3070	0	1
3080	0	1
3090	0	1
3100	0	1
3110	0	1
3120	0	1
3130	0	1
3140	0	1
3150	0	1
3160	0	1
3170	0	1
3180	0	1
3190	0	1
3200	0	1
3210	0	1
3220	0	1
3230	0	1
3240	0	1
3250	0	1
3260	0	1
3270	0	1
3280	0	1
3290	0	1
3300	0	1
3310	0	1
3320	0	1
3330	0	1
3340	0	1
3350	0	1
3360	0	1
3370	0	1
3380	0	1
3390	0	1
3400	0	1
3410	0	1
3420	0	1
3430	0	1
3440	0	1
3450	0	1
3460	0	1
3470	0	1
3480	0	1
3490	0	1
3500	0	1
3510	0	1
3520	0	1
3530	0	1
3540	0	1
3550	0	1
3560	0	1
3570	0	1
3580	0	1
3590	0	1
3600	0	1
3610	0	1
3620	0	1
3630	0	1
3640	0	1
3650	0	1
3660	0	1
3670	0	1
3680	0	1
3690	0	1
3700	0	1
3710	0	1
3720	0	1
3730	0	1
3740	0	1
3750	0	1
3760	0	1
3770	0	1
3780	0	1
3790	0	1
3800	0	1
3810	0	1
3820	0	1
3830	0	1
3840	0	1
3850	0	1
3860	0	1
3870	0	1
3880	0	1
3890	0	1
3900	0	1
3910	0	1
3920	0	1
3930	0	1
3940	0	1
3950	0	1
3960	0	1
3970	0	1
3980	0	1
3990	0	1
4000	0	1
4010	0	1
4020	0	1
4030	0	1
4040	0	1
4050	0	1
4060	0	1
4070	0	1
4080	0	1
4090	0	1
4100	0	1
4110	0	1
4120	0	1
4130	0	1
4140	0	1
4150	0	1
4160	0	1
4170	0	1
4180	0	1
4190	0	1
4200	0	1
4210	0	1
4220	0	1
4230	0	1
4240	0	1
4250	0	1
4260	0	1
4270	0	1
4280	0	1
4290	0	1
4300	0	1
4310	0	1
4320	0	1
4330	0	1
4340	0	1
4350	0	1
4360	0	1
4370	0	1
4380	0	1
4390	0	1
4400	0	1
4410	0	1
4420	0	1
4430	0	1
4440	0	1
4450	0	1
4460	0	1
4470	0	1
4480	0	1
4490	0	1
4500	0	1
4510	0	1
4520	0	1
4530	0	1
4540	0	1
4550	0	1
4560	0	1
4570	0	1
4580	0	1
4590	0	1
4600	0	1
4610	0	1
4620	0	1
4630	0	1
4640	0	1
4650	0	1
4660	0	1
4670	0	1
4680	0	1
4690	0	1
4700	0	1
4710	0	1
4720	0	1
4730	0	1
4740	0	1
4750	0	1
4760	0	1
4770	0	1
4780	0	1
4790	0	1
4800	0	1
4810	0	1
4820	0	1
4830	0	1
4840	0	1
4850	0	1
4860	0	1
4870	0	1
4880	0	1
4890	0	1
4900	0	1
4910	0	1
4920	0	1
4930	0	1
4940	0	1
4950	0	1
4960	0	1
4970	0	1
4980	0	1
4990	0	1
5000	0	1
5010	0	1
5020	0	1
5030	0	1
5040	0	1
5050	0	1
5060	0	1
5070	0	1
5080	0	1
5090	0	1
5100	0	1
5110	0	1
5120	0	1
5130	0	1
5140	0	1
5150	0	1
5160	0	1
5170	0	1
5180	0	1
5190	0	1
5200	0	1
5210	0	1
5220	0	1
5230	0	1
5240	0	1
5250	0	1
5260	0	1
5270	0	1
5280	0	1
5290	0	1
5300	0	1
5310	0	1
5320	0	1
5330	0	1
5340	0	1
5350	0	1
5360	0	1
5370	0	1
5380	0	1
5390	0	1
5400	0	1
5410	0	1
5420	0	1
5430	0	1
5440	0	1
5450	0	1
5460	0	1
5470	0	1
5480	0	1
5490	0	1
5500	0	1
5510	0	1
5520	0	1
5530	0	1
5540	0	1
5550	0	1
5560	0	1
5570	0	1
5580	0	1
5590	0	1
5600	0	1
5610	0	1
5620	0	1
5630	0	1
5640	0	1
5650	0	1
5660	0	1
5670	0	1
5680	0	1
5690	0	1
5700	0	1
5710	0	1
5720	0	1
5730	0	1
5740	0	1
5750	0	1
5760	0	1
5770	0	1
5780	0	1
5790	0	1
5800	0	1
5810	0	1
5820	0	1
5830	0	1
5840	0	1
5850	0	1
5860	0	1
5870	0	1
5880	0	1
5890	0	1
5900	0	1
5910	0	1
5920	0	1
5930	0	1
5940	0	1
5950	0	1
5960	0	1
5970	0	1
5980	0	1
5990	0	1
6000	0	1
6010	0	1
6020	0	1
6030	0	1
6040	0	1
6050	0	1
6060	0	1
6070	0	1
6080	0	1
6090	0	1
6100	0	1
6110	0	1
6120	0	1
6130	0	1
6140	0	1
6150	0	1
6160	0	1
6170	0	1
6180	0	1
6190	0	1
6200	0	1
6210	0	1
6220	0	1
6230	0	1
6240	0	1
6250	0	1
6260	0	1
6270	0	1
6280	0	1
6290	0	1
6300	0	1
6310	0	1
6320	0	1
6330	0	1
6340	0	1
6350	0	1
6360	0	1
6370	0	1
6380	0	1
6390	0	1
6400	0	1
6410	0	1
6420	0	1
6430	0	1
6440	0	1
6450	0	1
6460	0	1
6470	0	1
6480	0	1
6490	0	1
6500	0	1
6510	0	1
6520	0	1
6530	0	1
6540	0	1
6550	0	1
6560	0	1
6570	0	1
6580	0	1
6590	0	1
6600	0	1
6610	0	1
6620	0	1
6630	0	1
6640	0	1
6650	0	1
6660	0	1
6670	0	1
6680	0	1
6690	0	1
6700	0	1
6710	0	1
6720	0	1
6730	0	1
6740	0	1
6750	0	1
6760	0	1
6770	0	1
6780	0	1
6790	0	1
6800	0	1
6810	0	1
6820	0	1
6830	0	1
6840	0	1
6850	0	1
6860	0	1
6870	0	1
6880	0	1
6890	0	1
6900	0	1
6910	0	1
6920	0	1
6930	0	1
6940	0	1
6950	0	1
6960	0	1
6970	0	1
6980	0	1
6990	0	1
7000	0	1
7010	0	1
7020	0	1
7030	0	1
7040	0	1
7050	0	1
7060	0	1
7070	0	1
7080	0	1
7090	0	1
7100	0	1
7110	0	1
7120	0	1
7130	0	1
7140	0	1
7150	0	1
7160	0	1
7170	0	1
7180	0	1
7190	0	1
7200	0	1
7210	0	1
7220	0	1
7230	0	1
7240	0	1
7250	0	1
7260	0	1
7270	0	1
7280	0	1
7290	0	1
7300	0	1
7310	0	1
7320	0	1
7330	0	1
7340	0	1
7350	0	1
7360	0	1
7370	0	1
7380	0	1
7390	0	1
7400	0	1
7410	0	1
7420	0	1
7430	0	1
7440	0	1
7450	0	1
7460	0	1
7470	0	1
7480	0	1
7490	0	1
7500	0	1
7510	0	1
7520	0	1
7530	0	1
7540	0	1
7550	0	1
7560	0	1
7570	0	1
7580	0	1
7590	0	1
7600	0	1
7610	0	1
7620	0	1
7630	0	1
7640	0	1
7650	0	1
7660	0	1
7670	0	1
7680	0	1
7690	0	1
7700	0	1
7710	0	1
7720	0	1
7730	0	1
7740	0	1
7750	0	1
7760	0	1
7770	0	1
7780	0	1
7790	0	1
7800	0	1
7810	0	1
7820	0	1
7830	0	1
7840	0	1
7850	0	1
7860	0	1
7870	0	1
7880	0	1
7890	0	1
7900	0	1
7910	0	1
7920	0	1
7930	0	1
7940	0	1
7950	0	1
7960	0	1
7970	0	1
7980	0	1
7990	0	1
8000	0	1
8010	0	1
8020	0	1
8030	0	1
8040	0	1
8050	0	1
8060	0	1
8070	0	1
8080	0	1
8090	0	1
8100	0	1
8110	0	1
8120	0	1
8130	0	1
8140	0	1
8150	0	1
8160	0	1
8170	0	1
8180	0	1
8190	0	1
8200	0	1
8210	0	1
8220	0	1
8230	0	1
8240	0	1
8250	0	1
8260	0	1
8270	0	1
8280	0	1
8290	0	1
8300	0	1
8310	0	1
8320	0	1
8330	0	1
8340	0	1
8350	0	1
8360	0	1
8370	0	1
8380	0	1
8390	0	1
8400	0	1
8410	0	1
8420	0	1
8430	0	1
8440	0	1
8450	0	1
8460	0	1
8470	0	1
8480	0	1
8490	0	1
8500	0	1
8510	0	1
8520	0	1
8530	0	1
8540	0	1
8550	0	1
8560	0	1
8570	0	1
8580	0	1
8590	0	1
8600	0	1
8610	0	1
8620	0	1
8630	0	1
8640	0	1
8650	0	1
8660	0	1
8670	0	1
8680	0	1
8690	0	1
8700	0	1
8710	0	1
8720	0	1
8730	0	1
8740	0	1
8750	0	1
8760	0	1
8770	0	1
8780	0	1
8790	0	1
8800	0	1
8810	0	1
8820	0	1
8830	0	1
8840	0	1
8850	0	1
8860	0	1
8870	0	1
8880	0	1
8890	0	1
8900	0	1
8910	0	1
8920	0	1
8930	0	1
8940	0	1
8950	0	1
8960	0	1
8970	0	1
8980	0	1
8990	0	1
9000	0	1
9010	0	1
9020	0	1
9030	0	1
9040	0	1
9050	0	1
9060	0	1
9070	0	1
9080	0	1
9090	0	1
9100	0	1
9110	0	1
9120	0	1
9130	0	1
9140	0	1
9150	0	1
9160	0	1
9170	0	1
9180	0	1
9190	0	1
9200	0	1
9210	0	1
9220	0	1
9230	0	1
9240	0	1
9250	0	1
9260	0	1
9270	0	1
9280	0	1
9290	0	1
9300	0	1
9310	0	1
9320	0	1
9330	0	1
9340	0	1
9350	0	1
9360	0	1
9370	0	1
9380	0	1
9390	0	1
9400	0	1
9410	0	1
9420	0	1
9430	0	1
9440	0	1
9450	0	1
9460	0	1
9470	0	1
9480	0	1
9490	0	1
9500	0	1
9510	0	1
9520	0	1
9530	0	1
9540	0	1
9550	0	1
9560	0	1
9570	0	1
9580	0	1
9590	0	1
9600	0	1
9610	0	1
9620	0	1
9630	0	1
9640	0	1
9650	0	1
9660	0	1
9670	0	1
9680	0	1
9690	0	1
9700	0	1
9710	0	1
9720	0	1
9730	0	1
9740	0	1
9750	0	1
9760	0	1
9770	0	1
9780	0	1
9790	0	1
9800	0	1
9810	0	1
9820	0	1
9830	0	1
9840	0	1
9850	0	1
9860	0	1
9870	0	1
9880	0	1
9890	0	1
9900	0	1
9910	0	1
9920	0	1
9930	0	1
9940	0	1
9950	0	1
9960	0	1
9970	0	1
9980	0	1
9990	0	1
